,Domain Rating,Organic Traffic,Organic Keywords
würzburg-lokal.de,0,0,0
weiden-local.de,0,0,0
www.arnsberg-kurier.de,"0,3",0,0
unna-regio.de,"2,7",2,107
osnabruecker-anzeiger.de,0,0,61
Cuxhaven-Lokal.de,0,0,69
minden-regional.de,0,0,0
ansbach-kurier.de,0,1,37
bärn-online.ch,0,0,0
hunsrück-lokal.de,0,0,0
Hameln-info.de,0,0,15
herten-regio.de,0,7,104
Cottbus-Lokal.de,0,3,34
weiden-region.de,0,1,37
kassel-lokal.de,0,0,5
papenburg-lokal.de,0,0,0
herford-katalog.de,0,0,0
coburg-news.de,"0,3",7,89
kamen-Kurier.de,0,0,0
chemnitz-kurier.de,0,0,44
Buchholz-erzählt.de,0,0,0
haldensleben-lokal.de,0,0,0
Mein-elmshorn.de,0,0,0
bamberg-blatt.de,0,0,22
Flensburg-entdecken.de,0,4,55
Mettmann-region.de,0,0,0
kleveguide.de,0,0,0
viersenguide.de,"3,2",0,0
Bad-Nauheim-Regio.de,0,0,0
Neunkirchen-saar-lokal.de,0,0,0
freising-news.de,0,13,28
rosenheim-news.de,0,0,0
dachau-news.de,0,0,0
hanau-lokal.de,0,0,0
lueneburg-kurier.de,0,0,0
Rosenheim-Regio.de,"2,3",2,56
salzkammergut-regional.at,0,0,25
falkensee-local.de,0,0,0
koblenz-anzeiger.de,0,0,2
Flensburg-regio.de,0,14,74
potsdam-kurier.de,"0,1",0,6
zwickau-regio.de,0,0,0
darmstadt-magazin.de,0,1,13
friedrichshafen-online.de,"0,2",0,0
darmstadt-lokal.de,"2,7",6,9
lueneburg-regio.de,0,14,21
Remscheid-lokal.de,0,0,0
celle-lokal.de,0,21,70
Falkensee-umgebung.de,0,0,0
ludwigsburg-portal.de,0,2,94
Bamberg-Regio.de,0,1,40
www.hameln-lokal.de,0,0,0
Trier-lokal.de,0,0,0
soest-regio.de,0,0,19
Hagen-Nachrichten.de,0,2,54
Leipziger-Anzeiger.de,0,0,0
fürstenwalde-lokal.de,0,0,0
nordhorn-kurier.de,0,0,0
berlin-dein-bezirk.de,0,0,0
taunusstein-lokal.de,0,0,3
www.fulda-regional.de,0,0,0
Bremen-Regio.de,0,0,29
cuxhaven-regio.de,0,3,54
ffb-lokal.de,0,0,6
luenurg-aktuell.de,0,0,0
Dortmund-Lokal.de,"0,2",0,15
bremerhaven-anzeiger.de,0,0,0
nuernberg-kurier.de,0,1,13
siegen-lokal.de,0,0,0
stralsund-kurier.de,0,17,86
MPi-IT.com,0,0,1
bensheim-lokal.de,0,2,38
lucerne-online.ch,0,0,0
ludwigslust-online.de,0,1,11
sauerland-regional.de,0,0,0
flensburger-lokales.de,"0,9",3,28
herzogenrath-news.de,0,1,5
Bruchsal-regio.de,"0,4",4,11
rheine-lokal.de,0,3,20
Hanau-regio.de,0,0,0
Kassel-regio.de,0,0,2
trier-regional.de,"0,2",0,0
gütersloh-lokal.de,0,0,0
eisenach-lokal.de,0,0,47
Herford-lokal.de,0,0,0
Berlin-stadt-erleben.de,0,0,0
dornbirn-online.at,0,0,0
fulda-lokal.de,0,0,0
Würzburg-regional.de,0,0,0
Saarlouis-regio.de,0,12,20
küsteundmeer.de,0,0,0
leonberg-direkt.de,"0,2",0,0
Herzogenrath-Lokal.de,0,14,32
osnabrueck-regio.de,0,0,0
rathenow-lokal.de,0,0,10
https://hamburg-rahlstedt-online.de,0,5,39
delmenhorst-kurier.de,0,2,18
Hennef-aktuell.de,0,2,23
schwerte-lokal.de,0,6,41
Korbach-info.de,0,0,0
konstanz-zeitung.de,0,0,0
potsdam-anzeiger.de,0,1,47
Neustadt-weinstrasse.biz,"3,4",6,53
lingen-lokal.de,0,0,0
HoraffenStadtlokal.com,0,0,0
Dormagen-Lokal.de,0,5,30
wuppertal-regio.de,0,0,0
baden-baden-anzeiger.de,0,0,0
ibbenbueren-kurier.de,0,2,6
magdeburg-regio.de,0,0,0
hilden.online,0,0,0
Mühlhausen-regional.de,0,0,0
fuessen-lokal.de,0,1,32
bocholt-lokal.de,0,0,0
norderstedt-portal.de,0,2,29
salzgitter-lokal.de,9,1,39
Heidelberg-Umgebung.de,0,0,2
https://www.norderstedt-aktuell.de/,"4,1",230,239
Krefeld-regio.de,0,7,49
berlin-entdecker-regional.de,0,0,24
singen-lokal.de,0,0,0
herbacara.de,0,0,0
Augsburger-Treff.de,0,0,0
wetzlar-giessen-news.info,0,0,0
Rhein-Hunsrueck-Lokal.de,0,0,0
potsdam-echo.de,0,0,10
tuebingen-zeitung.de,0,0,22
bamberg-anzeiger.de,0,0,0
passau-lokal.de,0,0,0
Weyhe-news.de,0,0,0
hildesheim-lokal.de,"0,3",4,50
